title,price,location,address,distancia_m,details,link,descripcion
"Apartamento en Arriendo en La campiña i sector, Bogotá",$ 1.800.000,"Suba, Bogotá",Calle 146a #97 16 BQ J AP 521,2250,3 Habs. 2 Baños67 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-campiña-i-sector-bogota/192583330,"Apartamento de 67 m2, ubicado en quinto piso con acceso con escaleras, vista interior. Cuenta con sala comedor, cocina integral, zona de lavanderia, 3 alcobas con closet, la principal con baño privado, baño auxiliar, 1 parqueadero privado cubierto. El apartamento recibe sol de mañana y tarde, tiene pisos laminados.

El conjunto cuenta con dos porterias con vigilacia 24 horas, salón social, plazoleta central.

Cerca a dos estaciones de transmilenio, fáciles vías de acceso, cerca de centros comerciales, parques, colegios, zona residencial."
"Apartamento en Arriendo en Cerros de Suba, Bogotá",$ 9.000.000,"Suba, Bogotá","Las Colinas de Suba, Bogotá, Colombia",2376,4 Habs. 5 Baños487 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cerros-de-suba-bogota/192580274,"Espectacular Penthouse con Luz Natural y Vista Panorámica en Bogotá Ubicación y Entornon Rodeado de naturaleza, con vistas impresionantes hacia el norte y los cerros orientales de Bogotá Cerca de colegios, instituciones médicas, centros comerciales y comercio en general En una zona de alta valorización y excelente ubicación Características Generales Área aproximada por piso: 487 m² n- Construcción de altas especificaciones y acabados de calidad Entrega con acabados listos para estrenar Iluminación natural en todos los espacioscon 3 Balcones cuenta con 4 parqueaderos ,Gas natural instalado Distribución y Espacios: Dos niveles con espacios generosos e independientes Amplia terraza en medio de una hermosa arborización, perfecta para disfrutar de la naturaleza y vistas Sala con chimenea y estudio con chimenea para crear ambientes cálidos y acogedores Comedor y zona de estar integrados cuenta con 4 Habitaciones con baño y closet cada una, además de un baño social Cocina integral moderna y funcional Cuarto de servicio y zona de lavandería independiente Baño de servicio alturas piso-techo en distintas áreas, que aportan amplitud y confort Terraza cubierta para disfrutar al aire libre en cualquier momento Espacios diseñados con buena arquitectura y distribución eficiente
Agenda su cita.
2032"
"Apartamento en Arriendo en Britalia, Bogotá",$ 1.600.000,"Suba, Bogotá",CRA 56 No. 167-29,1496,2 Habs. 1 Baño50 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-britalia-bogota/192599476,"ARRIENDO APARTAMENTO EN CONJUNTO BOSQUES DE IKEA EN LA CRA 56 No. 167-29.  ES UN APARTAMENTO UBICADO EN SEGUNDO PISO SIN ASCENSOR, CONSTA DE SALA, COMEDOR, COCINA CERRADA SEMINTEGRAL, ZONA DE LAVANDERIA, DOS HABITACIONES CON CLOSET, UN ESTUDIO O LO PUEDE ACONDICIONAR A UNA TERCERA HABITACION, UN BAÑO, UN PARQUEADERO PROPIO DEL APARTAMENTO CUBIERTO.  PISOS EN MADERA LAMINA.  FACILES VIAS DE ACCESO POR LA AVDA BOYACA, AUTOPISTA NORTE.  SERVICIO TRANSPORTE SITP, ALIMENTADORES, CERCA A SUPERMERCADOS , CENTRO COMERCIAL COLINA."
"Apartamento en  Arriendo en Cerros de Suba, Bogotá",$ 16.000.000,"Suba, Bogotá","Conjunto Residencial Bosques de Álava, Carrera 77 A, Bogotá, Colombia",2668,4 Habs. 4 Baños410 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cerros-de-suba-bogota/191874126,"Hermoso apartamento remodelado en arrendamiento sector cerros de suba, Bosque de Alava, cuenta con 4 parqueaderos y un deposito ademas tiene dos ascensores por la zona de servicio y principal, el inmueble se puede arrendar con muebles y tendría un incremento de $2.000.000"
"Apartamento en Arriendo en La Calleja, Bogotá",$ 12.000.000,"Suba, Bogotá",carrera 74 # 139 33 apto 201,1331,3 Habs. 4 Baños297 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-calleja-bogota/192581102,"APARTAMENTO PARA ARRIENDO GRATAMIRA 74 CON 139

Área 297mts, con terraza en zona social, y balcón en estar de tv,  piso 3, exterior, sol mañana y tarde, sala, comedor, estudio, cocina cerrada, cuarto de ropas, cuarto y baño de servicio, ascensor directo al apartamento, estar de tv con balcón, 3 cuartos cada uno con su baño, 4 baños, depósito y 2parqueaderos con posibilidad de 3 independientes.

Edificio del 2007,  con vigilancia 24/7, parque para niños, zonas verdes, planta eléctrica completa, Parqueadero de visitantes, gimnasio pequeño y salón comunal.

Canon con administración: $12.000.000"
"Apartamento en Arriendo en Suba Salitre, Bogotá",$ 1.700.000,"Suba, Bogotá","Calle 154 #91-56, Bogotá, Colombia",1625,3 Habs. 2 Baños65 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-suba-salitre-bogota/192609682,"ARRIENDO APARTAMENTO SUBA-SALITRE 3 ALCOBAS 2 PARQUEADEROS
ARRIENDO Amplio, Luminoso,lindo y cómodo apartamento de 65m2, ubicado en septimo piso. conjunto ALAMEIRA con preciosa vista de la naturaleza  y parques, para usted que le gusta vivir con su familia en algo mas que un apartamento.si lo que busca es seguridad y tranquilidad este es el que necesita, el conjunto cuenta con parqueaderos para visitantes,6 salones comunales para diferentes actividades, Gimnasio,Jacuzzi,Sauna,un salon de juegos,  otro para bebes tienda miscelanea interna, todo a la mano para su comodidad. con ascensor. consta de: Tres habitaciones, Habitación principal con  balcón,  closet y baño privado, 2 alcobas con closets 1 baño completo de alcobas, amplia y luminosa Sala- comedor,  Amplia y luminosa cocina integral, zona de lavandería,calentador de agua a gas ,2 parqueaderos en línea cubiertos. Excelente ubicación,a una cuadra paradero del sitp, y a pocas cuadras de colegios y comercio en general “ LLAME Y AGENDE SU CITA YA” espero su comunicación para agendar cita y atenderlo con gusto.Este apto se arrienda a travez de aseguradora.
Canon de arrendamiento $ 1´700.000 incluida administración."
"Apartamento en Arriendo en Pinar de Suba, Bogotá",$ 1.250.000,"Suba, Bogotá","Calle 150a # 102B-47, Suba, Bogotá, D.C., Colombia",2635,1 Habs. 1 Baño37 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-pinar-de-suba-bogota/192494536,"Acogedor y hermoso apto estudio, consta de una habitación, un baño, sala comedor con balcón, cocina integral, zona de ropas, piso en madera laminada. Buena iluminación natural. Cerca de centros comerciales, colegios, universidades, parques. Buen transporte público. Conjunto cuenta salón social, zonas verdes"
"Apartamento en Arriendo en Cedritos, Bogotá",$ 2.300.000,"Suba, Bogotá",CARRERA 23 148- 59,2584,3 Habs. 3 Baños95 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cedritos-bogota/192625656,"Se arrienda acogedor apartamento dúplex de 75 m ubicado en el sector de Cedritos. Cuenta con 3 habitaciones con clóset, 3 baños totalmente terminados, sala-comedor, cocina integral con gas natural, zona de lavandería, pisos en madera laminada y cerámica, y un parqueadero propio. Excelente ubicación cerca de la Autopista Norte, con fácil acceso a vías principales y transporte público. 781-2286"
"Apartamento en Arriendo en Cerros de Suba, Bogotá",$ 11.000.000,"Suba, Bogotá",Carrera 77 #129 -25,2913,4 Habs. 6 Baños440 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cerros-de-suba-bogota/192620528,"BELLISIMO APTO. 3 PISO EXTERIOR,  UN APARTAMENTO X PISO, TERRAZA AREA SOCIAL, MAS BALCON ALCOBA PRINCIPAL, ESTUDIO, SALA DE TV, DEPOSITO, 4 GARAJES INDIVIDUALES, ,CANCHA DQUASH, SALON SOCIAL, DOBLE PORTERIA,  RODEADO DE NATURALEZA, ILUMINADO PISOS EN MADERA, MUEBLES EMPOTRADOS, BELLISIMAS LAMPARAS,  CORTINAS MODERNAS FINAS,  ZONAS COMUNES.: LOBY,  CANCHA SQUASH, SALON SOCIAL, AMPLIAS ZONAS VERDES,  CON CALDERA CENTRAL  ASCENSOR PRIVADO Y DE SERVICIO. DOBLE PORTERIA.
RODEADO DE NATURALEZA, MONTAÑAS, SENDEROS, JARDINES, CON GUARDAS DE SEGURIDAD EN AREAS COMUNES."
"Apartamento en  Arriendo en Cerros de Suba, Bogotá",$ 7.500.000,"Suba, Bogotá","Calle 137d #76a-50, Bogotá, Colombia",1490,2 Habs. 4 Baños266 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cerros-de-suba-bogota/192205812,"Espectacular apartamento de dos niveles, cuenta con 2 habitaciones con baño privado, la principal tiene vestier y jacuzzi, estudio, baño social, 2 salas con chimenea, comedor independiente, cocina abierta, cuarto y baño de servicio, family room, 2 parqueaderos cubiertos, uno exterior, excelente vista sobre la ciudad de Bogota, cerca de importantes centros comerciales, acabados de ultima generación. El condominio cuenta con hermosos jardines, parque infantil, sendero peatonal, salón de reuniones, cancha de squash, cancha múltiple, zona de BBQ y amplios parqueaderos para visitantes. Admírelo."
"Apartamento en arriendo en Colina Campestre, Bogotá",$ 3.300.000,"Suba, Bogotá","Carrera 57 A #145-80, Bogotá, Colombia",1515,2 Habs. 2 Baños72 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/10731504,"Descubre la serenidad y el estilo en este apartamento excepcionalmente iluminado y sofisticado. Rodeado de un entorno tranquilo con amplias zonas verdes, este hogar ofrece el equilibrio perfecto entre naturaleza y conveniencia urbana. Su ubicación privilegiada te sitúa a pocos pasos del Centro Comercial Puerto Alegre, brindándote acceso inmediato a una variada oferta de entretenimiento y servicios. Además, disfruta de una conectividad inigualable con salidas directas a la Autopista, la Avenida Boyacá y la Calle 53 (Arturo Calle), facilitando tus desplazamientos por la ciudad. Un oasis de paz con todas las comodidades a tu alcance."
"Apartamento en Arriendo en Pinar de Suba, Bogotá",$ 1.224.200,"Suba, Bogotá",CALLE 150 A No.  100 -  25,2400,3 Habs. 2 Baños45 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-pinar-de-suba-bogota/192633040,"Iluminado y hermoso apartamento en 3er piso, cuenta con 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de ropas. Muy bien ubicado cerca a paraderos de transporte público, colegios y parques."
"Apartamento en Arriendo en Toberin, Bogotá",$ 1.820.000,"Suba, Bogotá",AK 45 # 165 - 99,2394,3 Habs. 2 Baños73 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-toberin-bogota/192637505,"Descubre tu oasis urbano en Toberín: un apartamento que combina amplitud, confort y una ubicación privilegiada en el vibrante norte de Bogotá. A solo dos minutos a pie del Portal Toberín, este hogar te ofrece la conexión que necesitas con toda la ciudad, liberándote del estrés del tráfico y acercándote a todo lo que amas.

Ubicado en la Carrera 48 # 166-36, apartamento 408, Torre B, este espacioso apartamento de 70 m² ha sido diseñado pensando en tu bienestar. Cuenta con tres acogedoras alcobas, una de ellas con baño privado completo, creando un santuario personal para tu descanso. Además, dispone de un segundo baño completo, ideal para tus invitados. La amplia sala comedor es el corazón del hogar, un espacio versátil perfecto para reuniones familiares o momentos de relax. La cocina integral, equipada con estufa a gas, te invita a explorar tu pasión culinaria, mientras que la generosa zona de ropas añade practicidad a tu día a día. Para tu tranquilidad, el apartamento incluye un parqueadero cubierto, garantizando la seguridad de tu vehículo. Es importante tener en cuenta que el edificio no cuenta con ascensor.

El conjunto residencial te ofrece un estilo de vida seguro y placentero. Disfruta de la comodidad de doble acceso, brindando mayor seguridad y fluidez. Sumérgete en la serenidad de sus amplias zonas verdes, un respiro natural en medio de la ciudad. La ubicación es simplemente inmejorable: estar a pasos del Portal Toberín te abre las puertas a la"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 3.050.000,"Suba, Bogotá","Cl. 152b #73-26, Bogotá, Colombia",205,2 Habs. 1 Baño35 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192547257,"¡Oportunidad de Arriendo !  Apartaestudio amoblado de 2 habitaciones con su respectivo closet, 1 baño funcional, amplio ventanal que permite una excelente entrada de luz natural, zona de ropas independiente, cocina semi integral, práctica y con buen espacio de almacenamiento. Apartaestudio ubicado en una zona estratégica del norte de Bogotá. Su ubicación es privilegiada, a pocos pasos de la Av. Boyacá, cerca del Hospital Colina, Centro Comercial Parque La Colina, supermercados, transporte público y todo tipo de servicios. Fácil acceso a la calle 153, lo que facilita la movilidad hacia otros sectores de la ciudad. ¡Ideal para parejas, estudiantes o personas solas que buscan comodidad y cercanía a todo!"
"Apartamento en arriendo en Suba, Bogotá",$ 1.400.000,"Suba, Bogotá",KR 91 137 70,1931,2 Habs. 1 Baño52.42 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-suba-bogota/6962833,"Excelente oportunidad,  apartamento con sala comedor,  cocina con estufa a gas natural y calentador,  dos alcobas,un baño. Garaje sencillo,  descubierto e independiente. Conjunto con salón comunal,  parque infantil,  zonas verdes. Locales comerciales. Facilidad de transporte por KR 91 y CL 137. Valor del canon incluye administración."
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 6.000.000,"Suba, Bogotá","Conjunto Residencial Mediterráneo 2, Calle 132a, Bogotá, Colombia",1975,3 Habs. 4 Baños152 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192389004,"Descubre la comodidad y amplitud de este espectacular apartamento en el exclusivo Edificio Mediterráneo 2, ubicado en estrato 4. Con 152 m² de área construida, más una terraza amplia, este espacio ofrece iluminación natural excepcional y un diseño moderno. Cuenta con tres habitaciones con baño privado, equipadas con persianas para mayor confort. La cocina integral y la sala-comedor espaciosa crean un ambiente acogedor, ideal para disfrutar en familia. Además, dispone de baño social, dos parqueaderos en sótano y un depósito. El edificio ofrece seguridad 24 horas, zonas comunes y una ubicación estratégica cerca de centros comerciales y vías principales. ¡No pierdas la oportunidad de vivir en un lugar que combina confort y exclusividad!"
"Apartamento en Arriendo en Pinar de Suba, Bogotá",$ 1.427.800,"Suba, Bogotá",KR 101 # 151 - 33,2430,3 Habs. 1 Baño50 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-pinar-de-suba-bogota/192457363,"Apartamento en arriendo ubicado en el sector de SUBA PINAR en el conjunto residencial Pinar de la Fontana , con vista exterior, con un área construida de 50 mts2 , con excelente ubicación cerca de avenidas principales como son Av. Suba, Carrera 92 con facilidad al transporte público cerca de zonas comerciales, zonas verdes, colegios y sitios de interés. Cuenta con una muy buena iluminación natural, 3 habitaciones, , 1 baño, sala comedor, cocina integral , Zona de lavandería independiente . El Edificio  cuenta con, salón social, gimnasio, salón de niños ,Terraza BBQ."
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 1.850.000,"Suba, Bogotá",calle 152b # 73-26 Torre 4 Apto 909 Conjunto Veramonte Living,208,2 Habs. 1 Baño35 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192557721,"Cod 120873 Bienco arrienda hermoso apartamento para estrenar, consta de 35 metros, vista interior, dos habitaciones con closet en madera, cocina completamente integral tipo americano, sala comedor iluminada, calentador a gas, baño con acabados de lujo, zona de lavado, piso laminados en spc, iluminacion led, cuenta con salon social, gym, parque infantil, vigilancia 24 horas."
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 3.800.000,"Suba, Bogotá",CALLE 137 55A- 52,2120,4 Habs. 4 Baños130 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192544042,"Encantador apartamento en Colina Campestre, conjunto cerrado Oikos, con una ubicación ideal para disfrutar con la familia, cuenta con fáciles vías de acceso, cerca centro comercial san Rafael, cerca escuela militar, cerca de centro comercial parque colina. Dentro del sector podrá recorrer las espectaculares zonas verdes. El apartamento cuenta con amplios espacios y con gran iluminación natural, Posee una excelente distribución con sala comedor, cuatro alcobas con closet, con cuatro baños, con cocina integral con gas natural, cuenta con buenos acabados.  Cualquier información adicional contáctenos al número 3176478048 o al correo electrónico  yolanda.paradainmobiliariabogota.com. El equipo de Inmobiliaria Bogotá está comprometido a brindar una experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad. 1132-2021214954"
"Apartamento en Arriendo en Sotileza, Bogotá",$ 4.000.000,"Suba, Bogotá","Carrera 72 #128b-65, Bogotá, Colombia",2691,3 Habs. 3 Baños133 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-sotileza-bogota/192375166,"Arriendo apartamento exterior con vista exterior y sol de la tarde, remodelado, generosos espacios con vista al parque, iluminado, habitación principal con walking closet y baño privado.  2 habitaciones auxiliares muy amplias con closets de piso a techo, puedes acomodar camas dobles y escritorio para trabajo en casa o estudio.  Baño de alcobas y baño social.  Sala con biblioteca, chimenea, para compartir momentos únicos con tu familia o amigos.  Vista a la naturaleza.  Lo que más me gusta de este apto es su cocina remodelada, con comedor auxiliar, alacenas deslizables con organizadores para almacenar tus víveres y más.... Electrodomésticos nuevos y de última generación, estufa de 5 puestos, horno amplio, lavavajillas digital, si te gusta cocinar, este es el lugar para ti.  Zona de lavandería independiente, espacio para lavadora y secadora y  también con muebles para mantener todo en orden.  2 parqueaderos y depósito.  UN LUGAR ACOGEDOR, AMPLIO PARA QUE DISFRUTES CON TU FAMILIA Y LO HAGAS TU NUEVO HOGAR.  VEN A CONOCERLO.  DISPONIBLE POR POCO TIEMPO ! AGENDA TU CITA YA."
"Apartamento en arriendo en Colina Campestre, Bogotá",$ 7.581.000,"Suba, Bogotá","Cl. 152 #58-51, Suba, Cundinamarca, Colombia",1004,3 Habs. 3 Baños205 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/10753848,"Te presentamos este hermoso apartamento ubicado en una exclusiva zona residencial. Esta propiedad de ensueño cuenta con todas las características que estás buscando y mucho más. Con un diseño moderno y elegante, sus amplios espacios y sus acabados de alta calidad crean un ambiente acogedor. Cada habitación ha sido cuidadosamente diseñada para ofrecerte comodidad y privacidad, convirtiendo tu día a día en una experiencia única. Su sala de estar y comedor, de concepto abierto, te permitirán recibir a tus invitados de manera elegante y a la vez relajada. No puedes dejar pasar la oportunidad de adquirir esta propiedad exclusiva.

Contáctanos hoy mismo y uno de nuestros agentes inmobiliarios expertos estará encantado de ayudarte ¡No esperes más, el hogar de tus sueños te está esperando! Código 61-172"
